author_country,author_link,author_name
 Philippines ,https://www.dafont.com/jeson-garnica.d7388,EyeCone
 Philippines ,https://www.dafont.com/francis-studio.d6606,Francis Studio - Francis John
 Philippines ,https://www.dafont.com/gabriel-mark-perida.d2822,Gabriel Mark Perida
 Philippines ,https://www.dafont.com/ivanna-jude-albea-israel.d3904,Ivanna Jude Albea Israel
 Philippines ,https://www.dafont.com/jayvee-d-enaguas.d2725,Jayvee Enaguas
 Philippines ,https://www.dafont.com/jeanne-arielle-rodriguez.d5099,Jeanne Arielle Rodriguez
 Philippines ,https://www.dafont.com/jehzeel-laurente.d2735,Jehzlau - Jehzeel Laurente
 Philippines ,https://www.dafont.com/jethro-martino-paras.d2802,Jethro Martino Paras
 Philippines ,https://www.dafont.com/jhaz-jhazie.d5503,Jhaz Jhazie
 Philippines ,https://www.dafont.com/joanne-abellar.d5145,Joanne Abellar
 Philippines ,https://www.dafont.com/joey-perez.d1609,Joey Perez
 Philippines ,https://www.dafont.com/wurmics-bravo.d3516,Jonathan Wu
 Philippines ,https://www.dafont.com/joseph-carmelo-barba.d5154,Joseph Carmelo Barba
 Philippines ,https://www.dafont.com/joshua-senapelo.d4342,Joshua Senapelo
 Philippines ,https://www.dafont.com/julia-booth.d4288,Julia Guinto
 Philippines ,https://www.dafont.com/kata-alamon.d5778,Kata Alamon
 Philippines ,https://www.dafont.com/kate-dpm.d6013,Kate Mangahas
 Philippines ,https://www.dafont.com/diane-kelly-nuguid.d4376,KellyNugs - Diane Kelly Nuguid
 Philippines ,https://www.dafont.com/kristian-koh.d6819,Kristian
 Philippines ,https://www.dafont.com/mayonpx.d7107,Mayonpx
 Philippines ,https://www.dafont.com/mc-wesley-torrecampo.d6337,Mc Wesley Torrecampo
 Philippines ,https://www.dafont.com/mccid-college-of-technology.d7836,Mccid - Manila Christian Computer Institute for the Deaf
 Philippines ,https://www.dafont.com/mediakitchen-fonts.d1908,mediakitchen fonts - Emmanuel Garcia
 Philippines ,https://www.dafont.com/doughna.d7100,Monique Kindergarten Nursery Font
 Philippines ,https://www.dafont.com/patricia-lazaro.d6328,Patricia Lazaro
 Philippines ,https://www.dafont.com/philip-cruz.d2527,Philip Cruz
 Philippines ,https://www.dafont.com/calej-d-art.d3702,put out into the deep - Christina Burke
 Philippines ,https://www.dafont.com/ren-paga.d4556,Ren Paga
